OBJECTID,WGS84_LAT,WGS84_LON,RD_X,RD_Y,NETWORK,STATION,LOCATION,TYPE,START_DATE
258,53.418438,6.771304,"247,022","604,458",NL,G051,Roodeschool (niveau,,
103,53.418438,6.771304,"247,022","604,458",NL,G052,Roodeschool (niveau,,
633,53.418438,6.771304,"247,022","604,458",NL,G053,Roodeschool (niveau,,
540,53.418438,6.771304,"247,022","604,458",NL,G054,Roodeschool (niveau,,
165,53.411100,6.870900,"253,659","603,773",NL,G060,Spijk - Vierhuizen,borehole,15/9/2015
251,53.411095,6.870878,"253,659","603,772",NL,G061,Spijk - Vierhuizen (,,
57,53.411095,6.870878,"253,659","603,772",NL,G062,Spijk - Vierhuizen (,,
185,53.411095,6.870878,"253,659","603,772",NL,G063,Spijk - Vierhuizen (,,
223,53.411095,6.870878,"253,659","603,772",NL,G064,Spijk - Vierhuizen (,,
166,53.394600,6.545800,"232,070","601,537",NL,G070,Warffum,borehole,24/9/2015
190,53.394580,6.545769,"232,071","601,538",NL,G071,Warffum (niveau 1),,
60,53.394580,6.545769,"232,071","601,538",NL,G072,Warffum (niveau 2),,
566,53.394580,6.545769,"232,071","601,538",NL,G073,Warffum (niveau 3),,
201,53.394580,6.545769,"232,071","601,538",NL,G074,Warffum (niveau 4),,
167,53.395400,6.643900,"238,596","601,741",NL,G080,Rottum,borehole,22/9/2015
516,53.395447,6.643896,"238,597","601,744",NL,G081,Rottum (niveau 1),,
204,53.395447,6.643896,"238,597","601,744",NL,G082,Rottum (niveau 2),,
345,53.395447,6.643896,"238,597","601,744",NL,G083,Rottum (niveau 3),,
346,53.395447,6.643896,"238,597","601,744",NL,G084,Rottum (niveau 4),,
168,53.387800,6.724600,"243,980","600,985",NL,G090,Oldenzijl,borehole,18/9/2015
574,53.387764,6.724525,"243,976","600,985",NL,G091,Oldenzijl (niveau 1),,
5,53.387764,6.724525,"243,976","600,985",NL,G092,Oldenzijl (niveau 2),,
350,53.387764,6.724525,"243,976","600,985",NL,G093,Oldenzijl (niveau 3),,
273,53.387764,6.724525,"243,976","600,985",NL,G094,Oldenzijl (niveau 4),,
169,53.378500,6.804400,"249,312","600,057",NL,G100,Godlinze,borehole,8/9/2015
625,53.378470,6.804435,"249,312","600,053",NL,G101,Godlinze (niveau 1),,
511,53.378470,6.804435,"249,312","600,053",NL,G102,Godlinze (niveau 2),,
344,53.378470,6.804435,"249,312","600,053",NL,G103,Godlinze (niveau 3),,
270,53.378470,6.804435,"249,312","600,053",NL,G104,Godlinze (niveau 4),,
170,53.366900,6.889200,"254,980","598,880",NL,G110,Holwierde,borehole,8/12/2015
568,53.366917,6.889139,"254,976","598,882",NL,G111,Holwierde (niveau 1),,
100,53.366917,6.889139,"254,976","598,882",NL,G112,Holwierde (niveau 2),,
234,53.366917,6.889139,"254,976","598,882",NL,G113,Holwierde (niveau 3),,
534,53.366917,6.889139,"254,976","598,882",NL,G114,Holwierde (niveau 4),,
171,53.369900,6.571400,"233,822","598,820",NL,G120,Warffum,borehole,5/10/2017
533,53.369920,6.571390,"233,821","598,821",NL,G121,Warffum (niveau 1),,
321,53.369920,6.571390,"233,821","598,821",NL,G122,Warffum (niveau 2),,
517,53.369920,6.571390,"233,821","598,821",NL,G123,Warffum (niveau 3),,
296,53.369920,6.571390,"233,821","598,821",NL,G124,Warffum (niveau 4),,
172,53.349000,6.668600,"240,330","596,599",NL,G130,Middelstum,borehole,22/9/2015
623,53.348940,6.668564,"240,330","596,597",NL,G131,Middelstum (niveau 1,,
298,53.348940,6.668564,"240,330","596,597",NL,G132,Middelstum (niveau 2,,
269,53.348940,6.668564,"240,330","596,597",NL,G133,Middelstum (niveau 3,,
187,53.348940,6.668564,"240,330","596,597",NL,G134,Middelstum (niveau 4,,
173,53.358600,6.770800,"247,120","597,795",NL,G140,t Zandt GN,borehole,11/2/2015
304,53.358604,6.770835,"247,119","597,799",NL,G141,t Zandt GN (niveau 1,,
582,53.358604,6.770835,"247,119","597,799",NL,G142,t Zandt GN (niveau 2,,
244,53.358604,6.770835,"247,119","597,799",NL,G143,t Zandt GN (niveau 3,,
157,53.358604,6.770835,"247,119","597,799",NL,G144,t Zandt GN (niveau 4,,
175,53.338500,6.531400,"231,213","595,282",NL,G160,Winsum,borehole,17/9/2015
624,53.338528,6.531397,"231,214","595,284",NL,G161,Winsum (niveau 1),,
115,53.338528,6.531397,"231,214","595,284",NL,G162,Winsum (niveau 2),,
643,53.338528,6.531397,"231,214","595,284",NL,G163,Winsum (niveau 3),,
530,53.338528,6.531397,"231,214","595,284",NL,G164,Winsum (niveau 4),,
176,53.336200,6.636300,"238,207","595,143",NL,G170,Middelstum,borehole,29/4/2015
6,53.336197,6.636346,"238,209","595,141",NL,G171,Middelstum (niveau 1,,
248,53.336197,6.636346,"238,209","595,141",NL,G172,Middelstum (niveau 2,,
520,53.336197,6.636346,"238,209","595,141",NL,G173,Middelstum (niveau 3,,
72,53.336197,6.636346,"238,209","595,141",NL,G174,Middelstum (niveau 4,,
177,53.330600,6.721700,"243,905","594,623",NL,G180,Loppersum,borehole,18/9/2015
308,53.330624,6.721702,"243,906","594,623",NL,G181,Loppersum (niveau 1),,
180,53.330624,6.721702,"243,906","594,623",NL,G182,Loppersum (niveau 2),,
76,53.330624,6.721702,"243,906","594,623",NL,G183,Loppersum (niveau 3),,
239,53.330624,6.721702,"243,906","594,623",NL,G184,Loppersum (niveau 4),,
178,53.337800,6.817000,"250,240","595,542",NL,G190,Oostwijtwerd,borehole,18/9/2015
86,53.337814,6.817032,"250,241","595,545",NL,G191,Oostwijtwerd (niveau,,
197,53.337814,6.817032,"250,241","595,545",NL,G192,Oostwijtwerd (niveau,,
222,53.337814,6.817032,"250,241","595,545",NL,G193,Oostwijtwerd (niveau,,
348,53.337814,6.817032,"250,241","595,545",NL,G194,Oostwijtwerd (niveau,,
179,53.335300,6.895200,"255,450","595,371",NL,G200,Biessum,borehole,28/5/2015
220,53.335297,6.895165,"255,450","595,371",NL,G201,Biessum (niveau 1),,
606,53.335297,6.895165,"255,450","595,371",NL,G202,Biessum (niveau 2),,
596,53.335297,6.895165,"255,450","595,371",NL,G203,Biessum (niveau 3),,
10,53.335297,6.895165,"255,450","595,371",NL,G204,Biessum (niveau 4),,
284,53.313400,6.593700,"235,413","592,553",NL,G210,Vroetende mol,borehole,17/9/2015
339,53.313374,6.593737,"235,414","592,553",NL,G211,Vroetende mol (nivea,,
199,53.313374,6.593737,"235,414","592,553",NL,G212,Vroetende mol (nivea,,
560,53.313374,6.593737,"235,414","592,553",NL,G213,Vroetende mol (nivea,,
113,53.313374,6.593737,"235,414","592,553",NL,G214,Vroetende mol (nivea,,
285,53.310300,6.677600,"241,007","592,313",NL,G220,Stedum,borehole,10/2/2015
565,53.310350,6.677621,"241,010","592,314",NL,G221,Stedum (niveau 1),,
311,53.310350,6.677621,"241,010","592,314",NL,G222,Stedum (niveau 2),,
134,53.310350,6.677621,"241,010","592,314",NL,G223,Stedum (niveau 3),,
109,53.310350,6.677621,"241,010","592,314",NL,G224,Stedum (niveau 4),,
286,53.309400,6.767500,"247,003","592,324",NL,G230,Garrelsweer,borehole,16/2/2015
127,53.309490,6.767527,"247,004","592,329",NL,G231,Garrelsweer (niveau,,
264,53.309490,6.767527,"247,004","592,329",NL,G232,Garrelsweer (niveau,,
59,53.309490,6.767527,"247,004","592,329",NL,G233,Garrelsweer (niveau,,
507,53.309490,6.767527,"247,004","592,329",NL,G234,Garrelsweer (niveau,,
287,53.290000,6.856200,"252,957","590,273",NL,G240,Steendam,borehole,12/11/2014
119,53.289974,6.856169,"252,956","590,274",NL,G241,Steendam (niveau 1),,
106,53.289974,6.856169,"252,956","590,274",NL,G242,Steendam (niveau 2),,
521,53.289974,6.856169,"252,956","590,274",NL,G243,Steendam (niveau 3),,
209,53.289974,6.856169,"252,956","590,274",NL,G244,Steendam (niveau 4),,
288,53.308100,6.943300,"258,725","592,415",NL,G250,Weiwerd,borehole,12/5/2017
91,53.308117,6.943312,"258,723","592,415",NL,G251,Weiwerd (niveau 1),,
70,53.308117,6.943312,"258,723","592,415",NL,G252,Weiwerd (niveau 2),,
523,53.308117,6.943312,"258,723","592,415",NL,G253,Weiwerd (niveau 3),,
271,53.308117,6.943312,"258,723","592,415",NL,G254,Weiwerd (niveau 4),,
485,53.282100,6.545900,"232,280","589,017",NL,G260,Adorp,borehole,22/10/2015
310,53.282080,6.545806,"232,275","589,018",NL,G261,Adorp (niveau 1),,
335,53.282080,6.545806,"232,275","589,018",NL,G262,Adorp (niveau 2),,
93,53.282080,6.545806,"232,275","589,018",NL,G263,Adorp (niveau 3),,
306,53.282080,6.545806,"232,275","589,018",NL,G264,Adorp (niveau 4),,
486,53.283200,6.628200,"237,767","589,233",NL,G270,Ellerhuizen,borehole,27/11/2015
319,53.283180,6.628118,"237,763","589,232",NL,G271,Ellerhuizen (niveau,,
94,53.283180,6.628118,"237,763","589,232",NL,G272,Ellerhuizen (niveau,,
118,53.283180,6.628118,"237,763","589,232",NL,G273,Ellerhuizen (niveau,,
627,53.283180,6.628118,"237,763","589,232",NL,G274,Ellerhuizen (niveau,,
487,53.272200,6.729200,"244,524","588,128",NL,G280,Woltersum,borehole,28/3/2016
193,53.272210,6.729164,"244,524","588,132",NL,G281,Woltersum (niveau 1),,
272,53.272210,6.729164,"244,524","588,132",NL,G282,Woltersum (niveau 2),,
518,53.272210,6.729164,"244,524","588,132",NL,G283,Woltersum (niveau 3),,
580,53.272210,6.729164,"244,524","588,132",NL,G284,Woltersum (niveau 4),,
488,53.281400,6.787000,"248,362","589,227",NL,G290,Overschild,borehole,22/9/2015
130,53.281406,6.786966,"248,360","589,229",NL,G291,Overschild (niveau 1,,
652,53.281406,6.786966,"248,360","589,229",NL,G292,Overschild (niveau 2,,
212,53.281406,6.786966,"248,360","589,229",NL,G293,Overschild (niveau 3,,
90,53.281406,6.786966,"248,360","589,229",NL,G294,Overschild (niveau 4,,
489,53.279200,6.895200,"255,581","589,124",NL,G300,Meedhuizen,borehole,23/10/2014
548,53.279170,6.895145,"255,580","589,126",NL,G301,Meedhuizen (niveau 1,,
327,53.279170,6.895145,"255,580","589,126",NL,G302,Meedhuizen (niveau 2,,
124,53.279170,6.895145,"255,580","589,126",NL,G303,Meedhuizen (niveau 3,,
133,53.279170,6.895145,"255,580","589,126",NL,G304,Meedhuizen (niveau 4,,
490,53.296200,7.021800,"263,982","591,201",NL,G310,Borgsweer,borehole,27/11/2015
188,53.296196,7.021759,"263,981","591,205",NL,G311,Borgsweer (niveau 1),,
135,53.296196,7.021759,"263,981","591,205",NL,G312,Borgsweer (niveau 2),,
501,53.296196,7.021759,"263,981","591,205",NL,G313,Borgsweer (niveau 3),,
92,53.296196,7.021759,"263,981","591,205",NL,G314,Borgsweer (niveau 4),,
491,53.249800,6.579200,"234,561","585,466",NL,G320,Groningen - Hornbach,borehole,27/11/2015
265,53.249810,6.579190,"234,561","585,463",NL,G321,Groningen - Hornbach,,
280,53.249810,6.579190,"234,561","585,463",NL,G322,Groningen - Hornbach,,
274,53.249810,6.579190,"234,561","585,463",NL,G323,Groningen - Hornbach,,
595,53.249810,6.579190,"234,561","585,463",NL,G324,Groningen - Hornbach,,
492,53.249900,6.670700,"240,671","585,579",NL,G330,Garmerwolde,borehole,22/1/2016
18,53.249910,6.670763,"240,673","585,580",NL,G331,Garmerwolde (niveau,,
295,53.249910,6.670763,"240,673","585,580",NL,G332,Garmerwolde (niveau,,
243,53.249910,6.670763,"240,673","585,580",NL,G333,Garmerwolde (niveau,,
645,53.249910,6.670763,"240,673","585,580",NL,G334,Garmerwolde (niveau,,
493,53.252500,6.765000,"246,959","585,987",NL,G340,Overschild,borehole,23/10/2014
649,53.252520,6.765080,"246,962","585,986",NL,G341,Overschild (niveau 1,,
110,53.252520,6.765080,"246,962","585,986",NL,G342,Overschild (niveau 2,,
81,53.252520,6.765080,"246,962","585,986",NL,G343,Overschild (niveau 3,,
224,53.252520,6.765080,"246,962","585,986",NL,G344,Overschild (niveau 4,,
494,53.254900,6.862200,"253,435","586,380",NL,G350,Sidderburen,borehole,4/4/2017
537,53.254936,6.862136,"253,434","586,384",NL,G351,Sidderburen (niveau,,
541,53.254936,6.862136,"253,434","586,384",NL,G352,Sidderburen (niveau,,
241,53.254936,6.862136,"253,434","586,384",NL,G353,Sidderburen (niveau,,
138,53.254936,6.862136,"253,434","586,384",NL,G354,Sidderburen (niveau,,
464,53.265000,6.924500,"257,571","587,590",NL,G36,Wagenborgen,borehole,12/7/2015
495,53.265000,6.924500,"257,570","587,595",NL,G360,Wagenborgen,borehole,7/12/2015
80,53.265050,6.924454,"257,568","587,596",NL,G361,Wagenborgen (niveau,,
301,53.265050,6.924454,"257,568","587,596",NL,G362,Wagenborgen (niveau,,
575,53.265050,6.924454,"257,568","587,596",NL,G363,Wagenborgen (niveau,,
77,53.265050,6.924454,"257,568","587,596",NL,G364,Wagenborgen (niveau,,
496,53.273900,7.034900,"264,916","588,747",NL,G370,Woldendorp,borehole,2/12/2015
99,53.273952,7.035000,"264,920","588,750",NL,G371,Woldendorp (niveau 1,,
262,53.273952,7.035000,"264,920","588,750",NL,G372,Woldendorp (niveau 2,,
218,53.273952,7.035000,"264,920","588,750",NL,G373,Woldendorp (niveau 3,,
558,53.273952,7.035000,"264,920","588,750",NL,G374,Woldendorp (niveau 4,,
497,53.200500,6.547500,"232,537","579,940",NL,G380,Groningen - gasunie,borehole,11/4/2016
513,53.200512,6.547563,"232,539","579,943",NL,G381,Groningen - gasunie,,
583,53.200512,6.547563,"232,539","579,943",NL,G382,Groningen - gasunie,,
598,53.200512,6.547563,"232,539","579,943",NL,G383,Groningen - gasunie,,
82,53.200512,6.547563,"232,539","579,943",NL,G384,Groningen - gasunie,,
139,53.225200,6.724100,"244,282","582,900",NL,G390,Woudbloemsloot,borehole,24/10/2014
227,53.225250,6.724121,"244,285","582,900",NL,G391,Woudbloemsloot (nive,,
318,53.225250,6.724121,"244,285","582,900",NL,G392,Woudbloemsloot (nive,,
114,53.225250,6.724121,"244,285","582,900",NL,G393,Woudbloemsloot (nive,,
14,53.225250,6.724121,"244,285","582,900",NL,G394,Woudbloemsloot (nive,,
140,53.225000,6.809800,"250,010","582,986",NL,G400,Schildwolde,borehole,24/10/2014
2,53.225010,6.809874,"250,012","582,983",NL,G401,Schildwolde (niveau,,
303,53.225010,6.809874,"250,012","582,983",NL,G402,Schildwolde (niveau,,
519,53.225010,6.809874,"250,012","582,983",NL,G403,Schildwolde (niveau,,
585,53.225010,6.809874,"250,012","582,983",NL,G404,Schildwolde (niveau,,
141,53.223400,6.891900,"255,491","582,918",NL,G410,Noordbroek,borehole,22/9/2015
553,53.223434,6.891867,"255,491","582,919",NL,G411,Noordbroek (niveau 1,,
200,53.223434,6.891867,"255,491","582,919",NL,G412,Noordbroek (niveau 2,,
186,53.223434,6.891867,"255,491","582,919",NL,G413,Noordbroek (niveau 3,,
230,53.223434,6.891867,"255,491","582,919",NL,G414,Noordbroek (niveau 4,,
142,53.221700,6.988600,"261,958","582,863",NL,G420,Nieuwolda,borehole,11/2/2015
235,53.221687,6.988649,"261,958","582,864",NL,G421,Nieuwolda (niveau 1),,
268,53.221687,6.988649,"261,958","582,864",NL,G422,Nieuwolda (niveau 2),,
67,53.221687,6.988649,"261,958","582,864",NL,G423,Nieuwolda (niveau 3),,
653,53.221687,6.988649,"261,958","582,864",NL,G424,Nieuwolda (niveau 4),,
143,53.231800,7.079100,"267,971","584,130",NL,G430,Finsterwolde,borehole,25/6/2015
333,53.231853,7.079074,"267,970","584,133",NL,G431,Finsterwolde (niveau,,
255,53.231853,7.079074,"267,970","584,133",NL,G432,Finsterwolde (niveau,,
66,53.231853,7.079074,"267,970","584,133",NL,G433,Finsterwolde (niveau,,
500,53.231853,7.079074,"267,970","584,133",NL,G434,Finsterwolde (niveau,,
144,53.204200,6.683900,"241,644","580,505",NL,G440,Harkstede,borehole,11/2/2015
123,53.204193,6.683958,"241,645","580,508",NL,G441,Harkstede (niveau 1),,
622,53.204193,6.683958,"241,645","580,508",NL,G442,Harkstede (niveau 2),,
347,53.204193,6.683958,"241,645","580,508",NL,G443,Harkstede (niveau 3),,
283,53.204193,6.683958,"241,645","580,508",NL,G444,Harkstede (niveau 4),,
145,53.199500,6.764500,"247,033","580,090",NL,G450,Ruiten,borehole,23/10/2014
555,53.199535,6.764478,"247,035","580,090",NL,G451,Ruiten (niveau 1),,
65,53.199535,6.764478,"247,035","580,090",NL,G452,Ruiten (niveau 2),,
88,53.199535,6.764478,"247,035","580,090",NL,G453,Ruiten (niveau 3),,
526,53.199535,6.764478,"247,035","580,090",NL,G454,Ruiten (niveau 4),,
146,53.197800,6.849800,"252,739","580,011",NL,G460,Noordbroek,borehole,31/10/2014
278,53.197830,6.849796,"252,739","580,012",NL,G461,Noordbroek (niveau 1,,
562,53.197830,6.849796,"252,739","580,012",NL,G462,Noordbroek (niveau 2,,
522,53.197830,6.849796,"252,739","580,012",NL,G463,Noordbroek (niveau 3,,
638,53.197830,6.849796,"252,739","580,012",NL,G464,Noordbroek (niveau 4,,
147,53.196300,6.941300,"258,859","579,975",NL,G470,Nieuw Scheemda,borehole,28/3/2016
184,53.196350,6.941322,"258,859","579,976",NL,G471,Nieuw Scheemda (nive,,
129,53.196350,6.941322,"258,859","579,976",NL,G472,Nieuw Scheemda (nive,,
300,53.196350,6.941322,"258,859","579,976",NL,G473,Nieuw Scheemda (nive,,
640,53.196350,6.941322,"258,859","579,976",NL,G474,Nieuw Scheemda (nive,,
148,53.197300,7.028900,"264,710","580,207",NL,G480,Midwolda,borehole,21/6/2016
85,53.197260,7.028954,"264,712","580,207",NL,G481,Midwolda (niveau 1),,
338,53.197260,7.028954,"264,712","580,207",NL,G482,Midwolda (niveau 2),,
330,53.197260,7.028954,"264,712","580,207",NL,G483,Midwolda (niveau 3),,
260,53.197260,7.028954,"264,712","580,207",NL,G484,Midwolda (niveau 4),,
149,53.176500,6.730600,"244,817","577,481",NL,G490,Kolham,borehole,23/10/2014
320,53.176470,6.730598,"244,819","577,480",NL,G491,Kolham (niveau 1),,
554,53.176470,6.730598,"244,819","577,480",NL,G492,Kolham (niveau 2),,
561,53.176470,6.730598,"244,819","577,480",NL,G493,Kolham (niveau 3),,
599,53.176470,6.730598,"244,819","577,480",NL,G494,Kolham (niveau 4),,
150,53.174500,6.809300,"250,084","577,366",NL,G500,Sappemeer,borehole,28/8/2015
12,53.174526,6.809343,"250,087","577,365",NL,G501,Sappemeer (niveau 1),,
525,53.174526,6.809343,"250,087","577,365",NL,G502,Sappemeer (niveau 2),,
331,53.174526,6.809343,"250,087","577,365",NL,G503,Sappemeer (niveau 3),,
570,53.174526,6.809343,"250,087","577,365",NL,G504,Sappemeer (niveau 4),,
151,53.173200,6.884800,"255,134","577,321",NL,G510,Zuidbroek,borehole,11/2/2015
323,53.173200,6.884810,"255,136","577,320",NL,G511,Zuidbroek (niveau 1),,
202,53.173200,6.884810,"255,136","577,320",NL,G512,Zuidbroek (niveau 2),,
236,53.173200,6.884810,"255,136","577,320",NL,G513,Zuidbroek (niveau 3),,
647,53.173200,6.884810,"255,136","577,320",NL,G514,Zuidbroek (niveau 4),,
152,53.169900,6.983600,"261,749","577,095",NL,G520,Scheemda,borehole,12/2/2015
290,53.169890,6.983663,"261,753","577,093",NL,G521,Scheemda (niveau 1),,
302,53.169890,6.983663,"261,753","577,093",NL,G522,Scheemda (niveau 2),,
73,53.169890,6.983663,"261,753","577,093",NL,G523,Scheemda (niveau 3),,
538,53.169890,6.983663,"261,753","577,093",NL,G524,Scheemda (niveau 4),,
153,53.167400,7.080100,"268,205","576,961",NL,G530,Beerta,borehole,29/10/2015
632,53.167362,7.080120,"268,209","576,959",NL,G531,Beerta (niveau 1),,
87,53.167362,7.080120,"268,209","576,959",NL,G532,Beerta (niveau 2),,
349,53.167362,7.080120,"268,209","576,959",NL,G533,Beerta (niveau 3),,
631,53.167362,7.080120,"268,209","576,959",NL,G534,Beerta (niveau 4),,
154,53.124200,6.757900,"246,757","571,700",NL,G540,Kielwinde,borehole,15/9/2015
600,53.124283,6.757957,"246,758","571,708",NL,G541,Kielwinde (niveau 1),,
341,53.124283,6.757957,"246,758","571,708",NL,G542,Kielwinde (niveau 2),,
509,53.124283,6.757957,"246,758","571,708",NL,G543,Kielwinde (niveau 3),,
279,53.124283,6.757957,"246,758","571,708",NL,G544,Kielwinde (niveau 4),,
155,53.143300,6.846100,"252,614","573,943",NL,G550,Muntendam,borehole,12/2/2015
607,53.143345,6.846056,"252,612","573,945",NL,G551,Muntendam (niveau 1),,
252,53.143345,6.846056,"252,612","573,945",NL,G552,Muntendam (niveau 2),,
552,53.143345,6.846056,"252,612","573,945",NL,G553,Muntendam (niveau 3),,
527,53.143345,6.846056,"252,612","573,945",NL,G554,Muntendam (niveau 4),,
352,53.148400,6.930900,"258,274","574,630",NL,G560,Meeden,borehole,12/2/2015
536,53.148440,6.930871,"258,274","574,630",NL,G561,Meeden (niveau 1),,
506,53.148440,6.930871,"258,274","574,630",NL,G562,Meeden (niveau 2),,
578,53.148440,6.930871,"258,274","574,630",NL,G563,Meeden (niveau 3),,
125,53.148440,6.930871,"258,274","574,630",NL,G564,Meeden (niveau 4),,
353,53.135100,7.022200,"264,417","573,284",NL,G570,Winschoten,borehole,12/2/2015
158,53.135130,7.022222,"264,419","573,284",NL,G571,Winschoten (niveau 1,,
